,FlightNum,Qty_Cancelled,Qty,CancelledRatio
208,5103,36,521,6.91
209,7657,18,261,6.9
210,4082,105,1524,6.89
211,4445,135,1963,6.88
212,4597,83,1209,6.87
213,4885,96,1398,6.87
214,5324,60,874,6.86
215,7717,14,205,6.83
216,4911,89,1304,6.83
217,5186,68,996,6.83
218,4768,39,571,6.83
219,7449,39,572,6.82
220,7554,23,337,6.82
221,5234,58,850,6.82
222,4509,136,1998,6.81
223,4896,64,941,6.8
224,7509,39,574,6.79
225,5174,50,736,6.79
226,4827,94,1385,6.79
227,4544,151,2226,6.78
228,5440,101,1492,6.77
229,7237,16,237,6.75
230,4288,121,1799,6.73
231,7379,22,327,6.73
232,4237,186,2763,6.73
233,7582,31,463,6.7
234,4049,111,1660,6.69
235,5266,61,912,6.69
236,4105,159,2378,6.69
237,4941,72,1080,6.67
238,4089,165,2474,6.67
239,7015,3,45,6.67
240,5036,90,1350,6.67
241,4655,121,1817,6.66
242,5307,42,631,6.66
243,7522,25,376,6.65
244,7793,17,256,6.64
245,6947,27,407,6.63
246,7886,19,287,6.62
247,7037,10,151,6.62
248,5027,87,1317,6.61
249,7991,8,121,6.61
250,7990,8,121,6.61
251,7837,16,242,6.61
252,4130,244,3711,6.58
253,7958,24,365,6.58
254,3956,97,1475,6.58
255,5133,66,1003,6.58
256,4878,59,898,6.57
257,4933,58,883,6.57
258,22,801,12196,6.57
259,5332,56,852,6.57
260,4178,226,3439,6.57
261,7492,33,503,6.56
262,7368,24,366,6.56
263,4472,87,1326,6.56
264,4486,90,1374,6.55
265,4424,90,1373,6.55
266,4966,87,1330,6.54
267,4023,120,1839,6.53
268,2665,138,2129,6.48
269,4531,167,2580,6.47
270,5046,56,865,6.47
271,4914,88,1363,6.46
272,7679,23,356,6.46
273,4888,57,882,6.46
274,3216,181,2805,6.45
275,6842,51,791,6.45
276,7619,14,217,6.45
277,4570,104,1614,6.44
278,7614,32,497,6.44
279,7390,15,233,6.44
280,7675,13,202,6.44
281,4920,57,885,6.44
282,7228,11,171,6.43
283,7121,10,156,6.41
284,4558,196,3063,6.4
285,4225,208,3249,6.4
286,5254,79,1236,6.39
287,7468,37,579,6.39
288,5016,62,970,6.39
289,5173,49,767,6.39
290,4883,91,1427,6.38
291,5201,93,1461,6.37
292,4161,176,2763,6.37
293,4852,113,1774,6.37
294,5495,65,1022,6.36
295,4876,127,1996,6.36
296,5763,53,835,6.35
297,4216,145,2285,6.35
298,5198,52,820,6.34
299,7263,23,363,6.34
300,4037,120,1895,6.33
301,4514,156,2464,6.33
302,5797,31,490,6.33
303,7562,16,253,6.32
304,4367,164,2596,6.32
305,5007,20,317,6.31
306,5594,44,700,6.29
307,5181,55,875,6.29
308,5588,40,638,6.27
309,5342,77,1232,6.25
310,7493,36,576,6.25
311,6016,105,1681,6.25
312,4652,115,1843,6.24
313,4259,166,2661,6.24
314,4944,57,914,6.24
315,4368,152,2439,6.23
316,4717,96,1540,6.23
317,4117,122,1961,6.22
318,4366,139,2234,6.22
319,5194,39,627,6.22
320,4898,27,435,6.21
321,6518,65,1047,6.21
322,5803,76,1223,6.21
323,4381,176,2839,6.2
324,4969,68,1096,6.2
325,4264,191,3080,6.2
326,4547,111,1790,6.2
327,4280,179,2891,6.19
328,5102,43,695,6.19
329,5457,11,178,6.18
330,5088,89,1441,6.18
331,2292,227,3673,6.18
332,6306,99,1603,6.18
333,7612,34,550,6.18
334,4256,160,2592,6.17
335,5059,80,1298,6.16
336,6841,57,925,6.16
337,4731,111,1802,6.16
338,5001,45,732,6.15
339,5400,55,896,6.14
340,6360,7,114,6.14
341,7745,30,489,6.13
342,7497,23,376,6.12
343,7454,33,540,6.11
344,7516,18,295,6.1
345,5830,40,656,6.1
346,5116,53,870,6.09
347,7208,22,361,6.09
348,4191,90,1481,6.08
349,7859,9,148,6.08
350,4142,215,3541,6.07
351,7437,35,577,6.07
352,4138,147,2425,6.06
353,7647,6,99,6.06
354,4956,65,1073,6.06
355,7543,20,330,6.06
356,4350,136,2244,6.06
357,7802,12,198,6.06
358,5044,61,1008,6.05
359,7817,26,431,6.03
360,5812,62,1028,6.03
361,7525,19,315,6.03
362,4648,140,2324,6.02
363,4473,106,1760,6.02
364,4482,157,2614,6.01
365,4048,102,1700,6.0
366,6537,68,1134,6.0
367,4157,189,3156,5.99
368,4088,144,2410,5.98
369,4889,102,1707,5.98
370,4891,75,1256,5.97
371,7507,29,486,5.97
372,2227,263,4406,5.97
373,7999,5,84,5.95
374,4577,148,2487,5.95
375,4819,58,975,5.95
376,7673,18,303,5.94
377,6908,20,337,5.93
378,7746,29,489,5.93
379,5026,90,1518,5.93
380,7911,7,118,5.93
381,4907,70,1181,5.93
382,5147,39,659,5.92
383,5042,41,693,5.92
384,4627,94,1589,5.92
385,5322,52,879,5.92
386,4913,42,711,5.91
387,5052,69,1168,5.91
388,5137,72,1221,5.9
389,2491,154,2612,5.9
390,7140,7,119,5.88
391,4207,194,3297,5.88
392,4601,161,2737,5.88
393,5903,3,51,5.88
394,7768,23,392,5.87
395,7617,32,545,5.87
396,5725,10,171,5.85
397,7372,20,342,5.85
398,7546,23,393,5.85
399,7663,25,428,5.84
400,7395,16,274,5.84
401,4859,117,2002,5.84
402,5069,56,963,5.82
403,4311,155,2663,5.82
404,5024,66,1134,5.82
405,4743,105,1804,5.82
406,4074,83,1427,5.82
407,5003,45,774,5.81
408,5017,66,1135,5.81
409,4113,116,2000,5.8
410,7939,8,138,5.8
411,4949,47,811,5.8
412,9557,24,414,5.8
413,4086,104,1792,5.8
414,4339,124,2137,5.8
415,4833,43,742,5.8
416,5032,68,1175,5.79
417,4770,83,1434,5.79
418,5832,51,881,5.79
419,4866,102,1765,5.78
420,7072,9,156,5.77
421,7075,9,156,5.77
422,7142,3,52,5.77
423,5352,42,729,5.76
424,4875,92,1598,5.76
425,5629,11,191,5.76
426,4214,152,2641,5.76
427,3538,94,1631,5.76
428,4104,156,2710,5.76
429,7421,23,401,5.74
430,4072,86,1498,5.74
431,4284,133,2319,5.74
432,5392,47,819,5.74
433,7694,26,453,5.74
434,4516,127,2215,5.73
435,5733,33,577,5.72
436,4653,105,1838,5.71
437,7419,26,456,5.7
438,7523,25,439,5.69
439,5257,74,1301,5.69
440,4880,62,1090,5.69
441,7487,31,545,5.69
442,4606,83,1459,5.69
443,7756,21,369,5.69
444,4326,140,2466,5.68
445,3972,55,970,5.67
446,6972,22,388,5.67
447,4815,102,1800,5.67
448,4729,115,2030,5.67
449,4518,161,2839,5.67
450,4651,114,2011,5.67
451,7216,3,53,5.66
452,4491,90,1591,5.66
453,4840,86,1523,5.65
454,4858,114,2017,5.65
455,5008,42,744,5.65
456,4095,70,1240,5.65
457,4787,103,1823,5.65
458,5710,40,709,5.64
459,4893,51,906,5.63
460,7001,9,160,5.63
461,7801,10,178,5.62
462,4504,124,2206,5.62
463,4144,124,2212,5.61
464,4343,157,2803,5.6
465,5129,68,1216,5.59
466,5117,17,304,5.59
467,5136,56,1001,5.59
468,7649,20,358,5.59
469,4766,81,1452,5.58
470,5033,65,1165,5.58
471,4989,72,1290,5.58
472,3398,70,1257,5.57
473,4406,163,2927,5.57
474,5625,18,323,5.57
475,4250,193,3463,5.57
476,7688,15,270,5.56
477,7170,5,90,5.56
478,7160,5,90,5.56
479,7373,16,288,5.56
480,5155,75,1349,5.56
481,4906,49,881,5.56
482,7463,22,396,5.56
483,5536,39,701,5.56
484,5436,71,1276,5.56
485,6824,88,1584,5.56
486,5898,3,54,5.56
487,6161,131,2362,5.55
488,4932,55,992,5.54
489,7665,21,379,5.54
490,4390,146,2637,5.54
491,6311,78,1409,5.54
492,4132,149,2689,5.54
493,4080,84,1519,5.53
494,7399,14,253,5.53
495,4435,133,2405,5.53
496,4943,55,996,5.52
497,7655,16,290,5.52
498,4599,124,2247,5.52
499,5422,45,815,5.52
500,4975,80,1451,5.51
501,3936,102,1852,5.51
502,2985,58,1055,5.5
503,7496,21,382,5.5
504,4091,138,2509,5.5
505,4517,163,2969,5.49
506,4118,121,2204,5.49
507,5746,69,1257,5.49
508,3907,110,2008,5.48
509,4588,140,2556,5.48
510,4976,72,1314,5.48
511,4277,164,2991,5.48
512,4391,106,1936,5.48
513,4799,41,748,5.48
514,7776,17,311,5.47
515,7825,26,475,5.47
516,7179,7,128,5.47
517,5058,74,1352,5.47
518,7715,28,513,5.46
519,4598,130,2382,5.46
520,7853,10,183,5.46
521,4952,89,1630,5.46
522,5394,40,733,5.46
523,4335,121,2216,5.46
524,4988,57,1044,5.46
525,3973,52,954,5.45
526,2578,110,2019,5.45
527,4564,126,2311,5.45
528,7924,9,165,5.45
529,6827,80,1469,5.45
530,7667,21,386,5.44
531,4560,117,2150,5.44
532,4111,137,2519,5.44
533,5833,76,1399,5.43
534,7199,13,240,5.42
535,4851,57,1051,5.42
536,4916,46,848,5.42
537,4488,50,925,5.41
538,4135,167,3088,5.41
539,4200,136,2516,5.41
540,4654,103,1903,5.41
541,4756,103,1905,5.41
542,2245,193,3571,5.4
543,6010,34,631,5.39
544,5232,39,723,5.39
545,4481,94,1745,5.39
546,5411,36,669,5.38
547,7246,15,279,5.38
548,4919,49,910,5.38
549,6831,81,1506,5.38
550,4028,107,1991,5.37
551,6300,77,1433,5.37
552,6872,83,1548,5.36
553,7204,25,466,5.36
554,4465,152,2838,5.36
555,4437,104,1941,5.36
556,7920,6,112,5.36
557,5491,32,598,5.35
558,4500,119,2226,5.35
559,2423,170,3186,5.34
560,4190,175,3280,5.34
561,4575,62,1160,5.34
562,4823,111,2080,5.34
563,4884,105,1968,5.34
564,4485,84,1576,5.33
565,4955,85,1595,5.33
566,5263,45,845,5.33
567,5041,68,1276,5.33
568,7604,24,450,5.33
569,6535,58,1088,5.33
570,3930,72,1350,5.33
571,7662,13,244,5.33
572,4868,122,2295,5.32
573,4912,37,695,5.32
574,4020,83,1561,5.32
575,5071,70,1317,5.32
576,7815,26,489,5.32
577,4589,134,2524,5.31
578,7396,12,226,5.31
579,4579,108,2033,5.31
580,4204,200,3767,5.31
581,4494,103,1938,5.31
582,5827,52,981,5.3
583,4419,135,2545,5.3
584,4279,191,3601,5.3
585,7225,7,132,5.3
586,4582,131,2475,5.29
587,5114,44,831,5.29
588,7544,18,340,5.29
589,7196,11,208,5.29
590,7725,27,510,5.29
591,4605,124,2342,5.29
592,7609,27,510,5.29
593,7452,22,416,5.29
594,5152,56,1061,5.28
595,4569,52,984,5.28
596,6263,61,1155,5.28
597,4877,63,1195,5.27
598,4541,136,2580,5.27
599,4347,149,2826,5.27
600,4045,83,1574,5.27
601,4835,78,1480,5.27
602,4831,58,1100,5.27
603,5542,40,761,5.26
604,6533,85,1615,5.26
605,7374,12,228,5.26
606,7014,2,38,5.26
607,7262,19,362,5.25
608,5372,49,933,5.25
609,4846,65,1238,5.25
610,5341,51,971,5.25
611,5209,59,1123,5.25
612,4302,71,1356,5.24
613,4356,124,2369,5.23
614,4928,68,1301,5.23
615,5595,37,707,5.23
616,3948,115,2203,5.22
617,5105,62,1187,5.22
618,4336,182,3496,5.21
619,5025,58,1114,5.21
620,5840,60,1151,5.21
621,7383,16,307,5.21
622,7656,15,288,5.21
623,7812,25,480,5.21
624,5916,14,269,5.2
625,7448,30,577,5.2
626,4837,60,1153,5.2
627,4645,150,2883,5.2
628,3283,89,1713,5.2
629,5548,38,731,5.2
630,5205,50,963,5.19
631,5122,52,1001,5.19
632,7303,22,424,5.19
633,4009,75,1449,5.18
634,4069,89,1717,5.18
635,7506,21,406,5.17
636,4786,122,2360,5.17
637,2344,157,3039,5.17
638,2345,154,2978,5.17
639,4925,41,793,5.17
640,4879,106,2053,5.16
641,5019,50,969,5.16
642,6874,77,1492,5.16
643,5097,100,1940,5.15
644,6397,20,388,5.15
645,4971,60,1164,5.15
646,6191,118,2292,5.15
647,4623,104,2025,5.14
648,5096,86,1672,5.14
649,7811,19,370,5.14
650,5608,46,895,5.14
651,7077,8,156,5.13
652,4087,174,3389,5.13
653,5389,22,429,5.13
654,5404,31,604,5.13
655,7611,28,546,5.13
656,5177,42,818,5.13
657,7120,8,156,5.13
658,4241,163,3176,5.13
659,5005,37,721,5.13
660,5099,45,878,5.13
661,2456,250,4874,5.13
662,4180,164,3203,5.12
663,4340,188,3673,5.12
664,4809,53,1036,5.12
665,7358,17,332,5.12
666,7828,24,469,5.12
667,2261,130,2546,5.11
668,4510,178,3484,5.11
669,7788,7,137,5.11
670,5272,14,274,5.11
671,4657,57,1118,5.1
672,3172,53,1039,5.1
673,5617,5,98,5.1
674,5751,52,1019,5.1
675,6811,80,1569,5.1
676,5290,59,1159,5.09
677,6455,20,393,5.09
678,4967,49,963,5.09
679,7705,18,354,5.08
680,6830,72,1416,5.08
681,5598,37,730,5.07
682,6374,7,138,5.07
683,4487,59,1163,5.07
684,7453,28,552,5.07
685,4451,94,1859,5.06
686,7807,12,237,5.06
687,4550,127,2511,5.06
688,6428,85,1680,5.06
689,4985,53,1047,5.06
690,4120,158,3121,5.06
691,6816,87,1720,5.06
692,4448,126,2490,5.06
693,5085,52,1028,5.06
694,4769,75,1486,5.05
695,5077,54,1069,5.05
696,5149,60,1188,5.05
697,6958,28,555,5.05
698,4522,151,2993,5.05
699,4530,131,2601,5.04
700,5521,34,674,5.04
701,4895,20,397,5.04
702,6422,75,1487,5.04
703,5663,20,397,5.04
704,6877,68,1349,5.04
705,4860,90,1785,5.04
706,7416,24,476,5.04
